decision_id,room_id,estimate_id,schedule_id,control_mode,decision_type,target_temp,reason,decided_at
5188,1,5188,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.31C co2=784ppm occupancy=OCCUPIED executed=no",2026-09-03T14:22:58.889774+00:00
5189,1,5189,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.34C co2=786ppm occupancy=OCCUPIED executed=no",2026-09-03T14:23:30.084587+00:00
5190,1,5190,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.32C co2=783ppm occupancy=OCCUPIED executed=no",2026-09-03T14:24:01.304508+00:00
5191,1,5191,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.32C co2=782ppm occupancy=OCCUPIED executed=no",2026-09-03T14:24:32.789376+00:00
5192,1,5192,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.32C co2=777ppm occupancy=OCCUPIED executed=no",2026-09-03T14:25:03.979296+00:00
5193,1,5193,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.32C co2=775ppm occupancy=OCCUPIED executed=no",2026-09-03T14:25:35.274291+00:00
5194,1,5194,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.32C co2=777ppm occupancy=OCCUPIED executed=no",2026-09-03T14:26:06.730137+00:00
5195,1,5195,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.34C co2=778ppm occupancy=OCCUPIED executed=no",2026-09-03T14:26:38.410271+00:00
5196,1,5196,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.34C co2=777ppm occupancy=OCCUPIED executed=no",2026-09-03T14:27:09.858996+00:00
5197,1,5197,,monitoring,off,24.0,"재실 중 · 실내 24.3℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.28C co2=765ppm occupancy=OCCUPIED executed=no",2026-09-03T14:27:41.453749+00:00
5198,1,5198,,monitoring,off,24.0,"재실 중 · 실내 24.2℃ (쾌적 23.0~25.0℃),쾌적 범위 안 · 냉방 정지 유지 | temp=24.22C co2=751ppm occupancy=OCCUPIED executed=no",2026-09-03T14:28:13.013836+00:00
5199,1,5199,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.24C co2=729ppm occupancy=TRANSITION executed=no,2026-09-03T14:28:44.674257+00:00
5200,1,5200,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.26C co2=711ppm occupancy=TRANSITION executed=no,2026-09-03T14:29:16.194122+00:00
5201,1,5201,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.25C co2=695ppm occupancy=TRANSITION executed=no,2026-09-03T14:29:47.863390+00:00
5202,1,5202,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.30C co2=679ppm occupancy=TRANSITION executed=no,2026-09-03T14:30:19.614817+00:00
5203,1,5203,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.29C co2=666ppm occupancy=TRANSITION executed=no,2026-09-03T14:30:51.144342+00:00
5204,1,5204,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.30C co2=654ppm occupancy=TRANSITION executed=no,2026-09-03T14:31:22.628199+00:00
5205,1,5205,,monitoring,off,24.0,재실 판단 보류 (TRANSITION) — 현 상태 유지 | temp=24.31C co2=644ppm occupancy=TRANSITION executed=no,2026-09-03T14:31:54.038109+00:00
